,12GHA01005,12GHA01010,12GHA01014,12GHA01015,12GHA01018,12GHA01019,12GHA01020,12GHA01021,12GHA01022,12GHA01026,12GHA01028,12GHA01029,12GHA01030,12GHA01031,12GHA01033,12GHA01034,12GHA01035,12GHA01045,12GHA01048,12GHA01049,12GHA01051,12GHA01065,12GHA01067,12GHA01069,12GHA01071,12GHA01073,12GHA01074,12GHA01077,12GHA01078,12GHA01079,12GHA01083,12GHA01084,12GHA01085,12GHA01086,12GHA01087,12GHA01096,12GHA01097,12GHA01100,12GHA01102,12GHA01104,12GHA01109,12GHA01110,12GHA01111,12GHA01112,12GHA01114,12GHA01115,12GHA01116,12GHA01117,12GHA01118,12GHA01120,12GHA01125,12GHA01131,12GHA01132,12GHA01135,12GHA01137,12GHA01138,12GHA01140,12GHA01141,12GHA01142,12GHA01144,12GHA01147,12GHA01148,12GHA01152,12GHA01154,12GHA01156,12GHA01159,12GHA01161,12GHA01162,12GHA01163,12GHA01164,12GHA01165,12GHA01168,12GHA01170,12GHA01171,12GHA01172,12GHA01173,12GHA01174,12GHA01175,12GHA01176,12GHA01177,12GHA01179,12GHA01181,12GHA01182,12GHA01183,12GHA01184,12GHA01185,12GHA01187,12GHA01191,12GHA01193,12GHA01194,12GHA01196,12GHA01199,OpataM85,SyntheticW7984
TP74210,A,A,B,A,B,A,A,B,B,B,B,B,-,A,B,B,B,B,B,A,B,-,A,A,A,A,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B,A,A,B,A,B,A,B,A,B,A,A,A,A,A,B,A,B,B,-,A,B,A,A,A,B,A,A,B,B,B,B,A,B,B,A,A,A,A,B,B,B,B,A,A,B,A,B
TP74216,B,B,B,A,A,A,A,B,A,A,B,A,-,A,A,A,B,A,A,B,B,-,B,A,A,A,B,B,B,A,A,B,A,B,A,B,-,B,B,A,A,B,B,A,B,A,B,B,B,A,A,A,A,B,A,A,A,B,A,A,B,B,A,B,B,A,A,B,A,-,B,B,B,B,A,B,B,A,A,A,B,A,B,A,A,A,B,B,A,A,B,A,A,B
TP74225,A,B,B,B,A,B,A,B,A,B,B,-,A,B,B,A,A,B,B,A,B,B,A,B,B,B,B,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,A,B,B,B,A,B,A,B,A,A,B,B,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,A,B,B,A,B,A,B,B,B,A,A,B
TP74234,B,B,B,A,A,A,A,B,A,B,B,B,A,B,A,B,B,A,B,A,B,-,B,A,B,A,B,B,B,A,B,A,B,A,A,A,B,B,B,A,B,A,A,B,A,B,A,A,B,B,B,A,B,B,A,B,B,A,A,A,A,A,A,A,B,B,B,B,B,A,B,A,A,A,B,B,A,B,A,B,A,A,A,A,A,B,B,B,A,B,A,B,A,B
TP74351,A,A,B,B,A,B,B,B,A,A,B,B,A,A,B,B,B,A,B,A,B,-,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,B,A,B,A,A,B,A,A,B,A,A,B,B,B,A,B,A,B,A,A,B,B,B,B,B,A,B,B,B,A,B,A,A,B,A,A,A,B,B,B,B,A,A,B,A,B,A,A,A,B,B,A,B
TP74352,A,A,B,B,B,B,A,A,B,B,B,A,B,A,A,A,B,B,B,A,A,-,A,B,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,A,A,A,B,A,-,A,A,B,A,A,A,B,A,B,A,A,A,A,B,A,B,B,A,-,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,-,B,B,B,A,B
TP74359,A,A,A,A,B,B,B,B,B,A,A,A,A,B,A,B,B,B,B,A,B,-,B,A,A,B,A,B,A,B,A,A,A,B,B,B,A,B,B,B,A,B,B,A,B,A,A,B,A,B,A,A,B,B,A,B,B,A,A,A,A,B,A,A,A,A,A,B,B,B,A,A,B,B,B,B,B,A,A,B,A,A,A,B,A,A,B,A,A,A,B,B,A,B
TP74388,B,A,B,A,-,A,B,B,B,A,B,A,A,B,A,B,B,B,B,B,B,-,A,A,A,A,A,B,-,A,A,B,A,A,B,B,B,A,B,B,B,A,B,B,B,B,B,B,A,A,B,B,B,B,B,A,B,A,A,A,A,B,B,A,A,A,B,B,A,A,B,B,B,B,B,B,A,A,A,B,A,B,A,A,B,A,B,A,A,B,B,A,A,B
TP74464,A,B,B,A,B,A,A,B,B,B,B,B,-,A,B,B,B,B,B,A,B,-,A,A,A,A,B,B,B,B,A,A,B,B,B,B,B,B,B,A,B,A,A,B,A,B,B,A,A,B,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,A,B,A,A,A,B,A,A,B,B,B,B,A,B,B,A,A,A,A,A,B,B,A,A,A,A,A,B
TP74481,A,B,A,A,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,A,-,B,B,B,A,A,B,B,A,A,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,A,A,B,A,A,A,B,A,B,A,A,A,B,A,B,A,A,A,B,A,B,B,A,A,A,B,A,B,B,A,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B
TP74483,A,A,B,A,B,A,B,B,A,A,A,A,B,B,B,A,A,A,A,B,B,-,A,B,B,B,B,B,B,A,A,-,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B,A,B,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,B,B,A,B,A,B,B,A,A,B
TP74487,A,B,B,A,A,B,B,B,B,B,B,A,-,B,B,B,A,A,A,B,A,-,B,B,A,A,B,B,A,B,A,A,A,A,A,B,A,A,B,A,B,A,B,B,A,B,B,A,A,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,A,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,A,B,A,A,A,B,A,B
TP74525,B,A,B,B,B,A,A,B,A,B,B,B,A,B,-,B,A,A,B,B,A,-,A,B,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,B,A,-,B,B,-,A,A,A,A,B,A,A,B,A,B,A,A,A,A,B,A,B,A,B,A,B,B,A,B,A,B,A,A,B,B,B,B,A,A,B,B,A,B
TP74601,A,A,A,B,B,A,A,A,B,A,A,B,A,B,A,A,A,B,A,B,A,-,A,A,A,A,B,B,A,A,B,A,B,A,B,A,B,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,B,B,B,B,B,A,A,B,B,B,B,B,A,B,B,B,A,A,A,A,B,A,A,A,B,B,B,B,A,B,A,A,B,A,B,B,A,A,B,B,A,B
TP74797,A,A,B,B,A,A,A,A,A,B,B,B,A,B,B,-,A,B,B,A,B,-,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,A,B
TP74920,A,B,A,A,B,B,A,B,B,B,B,A,A,B,A,B,A,A,A,A,B,-,B,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,B,B,A,A,B,-,B,A,B,A,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,A,A,A,B,A,B,A,A,A,B,A,A,A,B,B,A,B,-,A,A,A,A,B,B,B,A,B,A,A,A,B
TP74979,A,A,B,B,B,B,A,A,B,B,B,A,B,B,A,A,B,B,B,A,B,-,A,B,A,A,B,A,B,B,A,A,A,B,B,B,A,A,B,A,A,A,B,A,A,A,A,B,A,B,-,B,A,B,A,A,A,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B
TP74987,A,B,A,A,A,B,A,B,A,A,B,A,-,A,B,B,A,B,A,B,B,-,A,A,A,A,B,B,B,A,A,A,A,A,B,B,A,A,A,B,A,A,A,B,B,B,B,B,B,A,B,A,A,A,B,B,A,B,B,A,A,A,B,B,A,B,A,B,B,B,A,B,B,A,A,B,A,B,B,B,A,A,A,B,A,B,A,B,B,B,B,B,A,B
TP75028,B,A,A,B,A,B,A,A,B,B,B,B,-,A,A,A,A,A,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,B,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B
TP75053,A,A,B,A,B,A,B,B,A,A,A,A,-,B,B,A,A,A,A,B,B,-,A,B,B,B,B,B,B,A,A,B,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B,A,B,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,-,A,B,B,A,B,A,B,B,B,A,B,A,B,B,A,A,B
TP75055,B,A,A,A,B,A,A,A,B,A,B,A,-,B,A,B,A,-,A,A,B,-,A,A,A,A,A,B,B,B,B,A,A,A,B,A,B,A,A,A,B,A,B,B,A,B,B,B,A,B,A,A,B,A,B,A,B,A,A,A,B,B,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,A,B,B,A,B,A,A,B,A,B,A,B,B,B,A,A,B
TP75141,B,A,A,B,A,B,A,A,B,B,B,-,-,A,B,B,A,A,B,A,B,B,A,A,A,A,A,A,A,B,B,A,B,B,A,A,B,B,A,A,B,A,A,A,B,B,B,A,B,A,A,B,A,B,B,B,B,A,A,B,A,A,B,B,B,B,B,B,B,A,B,B,A,B,B,A,A,A,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B
TP75194,A,A,B,A,B,A,B,B,A,A,A,A,-,B,B,A,A,A,A,B,B,-,A,B,B,B,B,B,B,A,A,B,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B,A,B,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,B,A,B,B,B,A,B,A,B,B,A,A,B
TP75218,A,A,A,A,A,B,A,B,A,B,A,B,A,A,A,A,B,A,B,A,A,-,A,B,A,B,B,B,B,A,A,B,A,A,B,A,B,B,A,B,B,B,B,A,A,B,A,A,B,B,B,B,A,B,A,A,B,B,A,B,A,B,A,B,B,B,A,B,A,A,A,B,A,A,B,-,B,A,B,A,A,A,A,A,-,B,B,B,B,A,B,B,A,B
TP75357,A,A,B,B,B,B,A,A,B,B,B,A,-,A,A,A,B,B,B,A,A,A,A,B,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,A,A,A,B,A,B,A,A,B,A,A,A,B,A,B,A,A,A,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,A,A,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B
TP75371,B,A,A,A,A,A,B,B,A,B,A,A,-,B,B,B,A,A,A,A,A,-,B,B,B,B,B,B,B,A,A,A,B,A,B,A,A,B,A,B,A,A,B,A,B,A,A,A,A,B,B,A,B,B,B,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,-,B,A,A,A,B,A,A,A,A,A,A,A,B,A,A,B
TP75443,A,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,A,B,B,A,B,-,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,A,B
TP75446,A,A,A,B,B,B,A,A,B,A,A,B,A,B,A,A,A,B,A,B,A,A,A,A,A,A,B,B,-,A,B,A,B,A,B,A,B,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,B,B,B,B,B,A,A,B,B,B,B,B,A,-,B,B,A,A,A,A,B,A,A,A,B,B,B,B,A,B,A,A,B,A,-,B,A,A,B,B,A,B
TP75597,B,A,B,B,B,A,B,B,B,A,A,B,A,B,A,A,A,B,B,A,B,-,B,B,A,B,A,B,B,B,B,B,B,B,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,B,B,B,B,A,B,B,A,A,A,B,A,B,B,B,B,A,A,A,A,B,B,A,A,A,A,B,B,B,B,B,B,A,B
TP75602,A,B,B,B,B,B,A,A,A,A,A,B,A,A,B,A,A,A,B,A,A,-,A,B,B,B,B,A,B,B,A,B,B,B,B,B,B,B,A,A,B,B,B,A,B,A,B,A,A,B,A,B,B,B,A,B,A,B,A,A,B,B,A,A,A,B,B,A,A,B,A,A,A,A,B,A,A,B,B,A,B,A,B,B,A,A,B,A,B,A,B,B,A,B
TP75611,A,B,B,A,B,A,B,B,A,A,B,A,B,B,B,A,B,A,A,B,A,-,A,B,A,A,A,B,A,B,B,B,B,A,A,A,A,A,B,B,A,B,B,B,B,B,A,B,B,B,A,B,B,B,A,A,B,A,A,A,B,A,B,B,-,A,B,B,A,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,B,A,A,A,A,A,A,A,A,B
TP75655,A,A,B,B,B,B,A,A,B,B,B,A,-,-,A,A,B,B,B,A,B,-,A,B,A,A,B,A,A,B,A,A,A,B,B,B,A,A,B,A,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,A,A,A,B,A,B,B,A,A,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,B
TP75692,A,A,A,A,A,B,A,B,B,B,A,B,A,B,B,A,B,A,B,A,A,-,A,B,A,B,B,B,A,A,A,A,A,A,B,A,B,B,A,B,B,B,B,A,A,B,A,B,B,B,B,A,A,B,A,A,B,A,A,A,B,B,A,B,B,A,A,B,A,A,A,B,A,A,B,B,B,A,B,A,A,A,B,A,A,B,B,B,B,A,B,B,A,B
TP75723,A,A,A,B,B,B,B,B,B,B,B,A,A,B,A,B,A,A,A,A,B,-,B,A,A,B,A,B,B,B,A,B,B,A,B,B,B,A,B,A,A,A,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,A,B,A,B,B,A,A,B,A,B,A,B,A,A,A,B,A,A,B,B,B,A,B,A,A,A,A,B,B,B,B,A,B,A,A,A,B
TP75951,B,A,B,A,B,B,A,B,A,A,A,A,A,A,B,A,B,A,A,B,A,-,B,B,A,A,B,B,A,B,A,A,B,A,B,B,A,B,B,A,A,B,B,A,A,A,A,A,B,B,A,B,B,A,B,B,B,B,B,A,A,B,A,B,B,A,B,-,A,B,B,B,A,B,A,A,A,A,B,-,B,A,B,B,A,A,A,B,B,B,B,B,A,B
TP76041,B,B,A,A,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,A,A,-,B,B,B,B,B,B,B,A,A,A,B,A,B,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,B,B,A,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,B,A,A,B
TP76249,A,B,A,A,B,A,B,A,A,B,B,A,-,A,B,A,B,A,B,A,A,-,A,B,B,B,A,B,A,B,B,B,A,A,B,B,B,A,B,B,A,A,-,A,B,B,A,A,A,B,A,A,B,A,A,A,A,B,A,-,A,A,B,B,B,A,A,A,A,B,A,A,A,B,B,B,B,B,B,A,A,A,A,A,B,B,A,B,B,B,A,A,A,B
TP76303,B,A,A,B,A,B,A,A,B,B,B,B,-,A,A,A,A,B,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B
TP76343,A,B,B,A,A,B,B,B,B,B,B,A,-,B,B,B,A,A,A,B,A,-,B,B,A,A,B,B,A,B,A,A,A,A,A,B,A,A,B,A,B,A,B,B,A,B,B,A,A,B,B,A,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,A,B,A,B,B,B,A,A,B,A,B,A,A,A,A,B,B,A,A,B,A,A,A,B,A,B
TP76522,B,B,B,A,B,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,B,-,A,B,-,B,B,B,B,B,A,B,A,A,A,B,B,A,A,B,A,A,A,A,A,B,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,A,-,B,A,B,A,B,A,B,B,A,A,A,A,A,A,B,A,B,A,A,B,A,B,B,B,A,A,B,B,B,A,B
TP76552,B,B,B,A,B,B,A,A,B,A,B,B,-,A,B,A,B,B,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B,A,B,A,B,B,A,A,B,A,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,A,B,A,A,B,A,B,B,A,B,B,B,A,A,A,B,A,A,A,B,A,A,B
TP76593,A,B,A,A,A,B,B,A,B,A,B,B,A,-,A,A,A,B,B,A,B,B,A,A,A,A,A,B,A,B,B,B,B,A,B,A,A,A,B,A,B,B,A,A,A,B,A,B,B,A,B,B,A,A,B,B,B,B,B,A,A,A,B,B,A,B,B,A,A,A,A,B,B,A,B,B,B,A,B,B,A,B,B,-,A,B,A,B,A,A,B,A,A,B
TP76681,B,A,A,B,A,B,A,A,B,B,B,B,B,A,A,A,A,A,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B,-,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B
TP77384,A,B,B,A,B,A,A,B,A,A,B,B,A,-,A,B,B,A,A,A,B,-,B,A,B,B,B,B,A,B,B,A,B,A,A,A,B,B,A,A,A,A,A,B,A,B,B,A,A,A,B,A,A,B,A,B,B,A,A,A,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,A,B,B,B,A,B,A,A,A,B
TP77536,A,A,A,B,B,B,A,A,B,B,-,A,A,B,A,B,A,B,A,A,B,-,B,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,A,B,-,A,B,A,A,A,B
TP77649,A,B,A,A,A,B,A,B,A,A,B,A,-,A,B,B,A,B,A,B,B,-,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A,B,A,A,A,B,B,B,B,B,B,A,B,A,A,A,B,B,A,B,B,B,A,A,B,B,A,B,A,B,B,B,A,B,B,A,A,B,A,B,A,B,A,A,A,B,B,B,A,B,B,B,B,A,A,B
TP77669,A,B,A,-,B,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,A,-,B,B,B,A,A,B,B,A,A,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,A,A,B,A,A,A,B,A,B,A,A,A,B,A,B,A,A,B,B,A,B,B,A,A,A,B,A,B,B,B,B,-,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B
TP77711,B,A,A,B,A,B,A,A,B,B,B,B,-,A,A,A,A,A,B,A,B,-,A,A,A,B,A,A,A,B,A,A,B,B,A,A,A,B,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,-,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,B
TP77797,A,B,B,B,B,B,A,A,B,B,A,A,A,B,A,B,B,B,A,A,B,-,B,A,B,A,A,B,A,B,A,B,A,B,A,B,B,B,A,B,A,B,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,B,A,A,-,A,B,-,A,A,B,A,B,B,A,B,A,A,B,B,A,A,B
TP77859,A,A,B,B,A,B,B,B,A,A,B,B,A,A,B,B,A,A,B,A,B,-,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,B,A,B,B,A,B,A,A,B,A,A,B,B,B,A,B,A,B,A,-,B,B,B,B,B,A,B,B,B,A,B,A,A,B,A,A,A,B,B,B,B,A,A,B,A,B,A,A,A,B,B,A,B
TP78390,A,A,B,B,B,A,B,B,A,A,B,B,A,B,B,B,B,A,A,B,A,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,B,B,B,A,B,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,B,A,A,B,B,B,A,A,A,A,B,A,B,A,B,B,A,A,B,A,B,A,A,B,B,A,A,B,B,A,A,A,A,B,B,A,B
TP78405,A,B,B,B,B,B,B,A,B,B,A,A,-,B,B,B,A,B,-,B,A,-,B,A,B,A,B,A,A,B,A,A,A,B,A,B,B,B,A,B,A,B,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,A,A,B,A,B,A,B,A,A,B,A,A,B,A,A,B,A,A,A,A,A,B,A,A,B,A,B,B,A,A,A,A,B,B,A,A,B
TP78831,A,A,A,A,A,B,A,B,A,A,B,A,B,A,B,B,B,B,A,B,B,-,B,A,A,A,B,A,B,A,B,B,A,A,A,B,A,A,A,B,A,B,A,A,A,B,B,A,B,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,A,B,B,A,A,A,A,B,B,B,A,A,B,B,A,B,A,B,B,B,B,B,A,B
TP78885,B,A,A,B,B,A,A,A,A,A,B,A,-,B,A,B,A,B,A,B,A,-,A,A,A,A,A,B,B,B,A,B,A,A,A,A,A,B,B,B,B,A,B,B,A,B,B,B,A,A,A,B,B,A,B,A,B,B,A,B,B,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A,A,A,B,A,B,A,A,B,B,B,B,B,B,B,A,A,B
TP79073,A,A,B,B,A,B,B,B,A,A,B,B,A,-,B,B,A,A,B,A,B,-,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,B,A,B,B,B,B,A,A,B,A,A,B,B,B,A,B,A,B,A,A,B,B,B,B,B,A,B,B,B,A,B,A,A,B,A,A,A,B,B,B,B,A,A,B,A,B,A,A,A,B,B,A,B
TP79074,A,A,B,B,A,B,B,B,A,A,B,B,A,A,B,B,A,A,B,A,B,-,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,A,A,A,B,A,B,B,B,B,A,A,B,A,B,B,B,B,A,B,A,B,A,A,B,B,B,B,B,A,B,B,B,A,B,A,A,B,A,A,A,B,B,B,B,A,A,B,A,B,A,A,A,B,B,A,B
TP79158,A,B,A,A,B,A,-,A,A,A,A,A,B,B,B,A,A,B,B,A,A,-,B,B,B,A,A,B,-,A,A,B,B,B,B,B,B,A,A,B,B,A,B,B,B,B,A,A,A,B,A,A,A,B,A,B,A,A,A,B,A,B,A,A,A,B,A,B,B,A,A,A,B,A,B,B,A,B,A,-,B,A,B,B,A,B,B,B,B,B,B,B,A,B
TP79454,B,A,A,B,B,B,A,B,A,B,A,B,B,B,B,A,B,B,A,B,A,-,B,A,B,B,A,B,B,B,B,A,B,A,A,A,A,B,A,A,B,A,B,B,A,A,A,B,B,B,A,A,B,A,A,B,A,B,A,B,B,B,B,B,B,A,A,B,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,B
TP79461,B,A,A,A,A,B,A,A,B,B,B,B,B,-,A,A,A,B,B,A,B,-,A,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,B,A,A,B,A,B,B,B,B,B,B,A,A,A,B,B,B,B,A,A,B,A,B,B,B,A,B,A,B,A,B,B,B,B,B,A,B,B,A,B,B,A,A,A,A,B
TP79561,A,B,A,B,B,B,B,-,B,B,A,B,-,B,B,B,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,B,A,B,A,A,A,A,A,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,B,B,A,B,A,B,B,A,A,A,B,B,A,A,A,B,A,A,-,A,B,A,B,A,A,A,B,B,B,A,B,B,B,A,B,A,B
TP79605,B,B,B,A,B,A,B,A,B,A,B,A,-,A,A,A,A,A,A,B,A,-,A,B,B,B,B,B,B,B,A,B,B,A,A,B,B,A,A,B,A,A,A,A,A,B,A,B,A,B,A,B,A,B,A,B,A,B,B,B,B,A,A,B,A,B,A,B,A,B,B,A,A,A,A,A,A,B,A,B,A,A,B,A,B,B,B,B,A,B,B,B,A,B
TP79761,A,A,A,B,B,A,A,A,A,B,B,B,B,B,A,B,A,B,A,B,A,A,A,A,B,A,A,B,B,-,A,B,A,A,A,A,A,B,B,B,A,A,B,B,A,B,B,B,A,A,A,B,B,A,B,A,B,B,B,B,B,A,A,A,A,B,B,B,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A,A,B,B,B,B,B,B,B,A,A,B
TP79802,A,A,B,B,B,B,B,B,B,B,B,A,B,A,A,B,A,B,A,A,B,-,B,A,A,A,A,B,B,B,A,B,A,A,B,B,B,A,B,A,A,A,A,B,B,A,B,B,B,-,B,B,B,A,A,B,B,A,-,A,B,A,A,B,B,A,B,A,B,A,A,A,B,A,A,B,A,B,A,A,B,A,A,B,B,B,B,B,A,B,A,B,A,B
TP79835,A,B,B,A,A,B,B,B,A,A,B,A,A,B,B,B,A,A,A,B,B,-,B,B,B,A,B,B,A,B,A,A,B,A,A,A,B,A,B,A,B,B,A,B,A,B,B,A,A,A,B,B,A,B,A,A,B,B,B,B,B,B,B,B,B,A,A,B,A,B,A,B,B,B,A,A,B,A,A,B,A,B,A,B,B,A,A,B,A,A,A,B,A,B
TP79863,A,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,A,B,A,B,A,-,A,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A,B,A,B,A,A,B,B,A,A,B,A,A,B,A,A,A,A,B,B,B,A,B,A,B,B,A,A,A,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,B,B,B,A,B,B,B,A,-,A,B
TP79880,B,B,B,A,A,A,B,B,A,B,A,A,A,B,B,B,B,B,B,A,B,A,B,B,A,B,B,A,B,A,B,-,B,A,B,A,B,B,A,B,A,A,A,B,A,A,B,A,A,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,A,A,B,A,A,B,B,B,A,B,A,A,A,A,B,A,A,B,B,A,B,A,A,A,B,A,A,A,B
TP80016,A,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,A,B,B,A,B,-,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,B,A,B,A,A,A,-,A,A,B,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,A,B
TP80061,A,B,B,A,B,A,A,B,A,A,B,B,A,B,A,B,B,A,A,A,-,A,B,A,B,B,B,B,A,B,B,A,B,A,A,A,B,B,A,A,A,A,A,B,A,B,B,A,A,B,B,A,A,B,A,B,B,A,A,A,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,A,B,B,B,A,B,A,A,A,B
TP80067,B,A,B,B,B,A,A,B,A,A,A,B,-,B,A,A,A,B,B,A,B,-,B,B,A,B,A,B,B,B,B,A,B,B,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,A,A,A,A,B,A,B,B,A,B,B,A,A,A,B,A,B,B,B,B,A,B,A,B,B,B,A,A,A,A,B,B,B,B,B,B,A,B
